pid,display_pid,alias,image,floral_language,origin,production,category,blooming,color,size,soil,sunlight,watering,fertilization,pruning,max_light_mmol,min_light_mmol,max_light_lux,min_light_lux,max_temp,min_temp,max_env_humid,min_env_humid,max_soil_moist,min_soil_moist,max_soil_ec,min_soil_ec
acer carpinifolium,Acer carpinifolium,acer carpinifolium,http://pkb.resource.huahuacaocao.com/YWNlciBjYXJwaW5pZm9saXVtLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer circinatum,Acer circinatum,acer circinatum,http://pkb.resource.huahuacaocao.com/YWNlciBjaXJjaW5hdHVtLmpwZw==?imageView2/1/w/%d/h/%d,,North America,North America,"Sapindaceae, Acer","Flowering period May, fruiting period September","Flower color purple red , fruit color purple red, brown yellow","Diameter â¥ 20 cm, height â¥ 25 cm",Soil with loose texture or soil with specific nutrients,"Resistant to shade, grows in places with scattered light or shade properly","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",2500,1200,6000,1500,32,5,80,30,60,15,2000,350
acer cissifolium,Acer cissifolium,acer cissifolium,http://pkb.resource.huahuacaocao.com/YWNlciBjaXNzaWZvbGl1bS5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer davidii,Acer davidii,acer davidii,http://pkb.resource.huahuacaocao.com/YWNlciBkYXZpZGlpLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August","Flower color yellow green, fruit color light green, yellow brown","Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer ginnala,Acer ginnala,acer ginnala,http://pkb.resource.huahuacaocao.com/YWNlciBnaW5uYWxhLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August","Flower color light yellow, fruit color pink","Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer glabrum,Acer glabrum,acer glabrum,http://pkb.resource.huahuacaocao.com/YWNlciBnbGFicnVtLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer griseum,Acer griseum,acer griseum,http://pkb.resource.huahuacaocao.com/YWNlciBncmlzZXVtLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August","Flower color light yellow, fruit color yellow brown","Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer macrophyllum,Acer macrophyllum,acer macrophyllum,http://pkb.resource.huahuacaocao.com/YWNlciBtYWNyb3BoeWxsdW0uanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer maximowiczianum,Acer maximowiczianum,acer maximowiczianum,http://pkb.resource.huahuacaocao.com/YWNlciBtYXhpbW93aWN6aWFudW0uanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer miyabei,Acer miyabei,acer miyabei,http://pkb.resource.huahuacaocao.com/YWNlciBtaXlhYmVpLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer mono,Acer mono,acer mono,http://pkb.resource.huahuacaocao.com/YWNlciBtb25vLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer monspessulanum,Acer monspessulanum,acer monspessulanum,http://pkb.resource.huahuacaocao.com/YWNlciBtb25zcGVzc3VsYW51bS5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer negundo,Acer negundo,acer negundo,http://pkb.resource.huahuacaocao.com/YWNlciBuZWd1bmRvLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer palmatum,Acer palmatum,acer palmatum,http://pkb.resource.huahuacaocao.com/YWNlciBwYWxtYXR1bS5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August","Flower color red purple, fruit color green to red, leaf color turn to red, orange or yellow from green in autumn","Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer pensylvanicum,Acer pensylvanicum,acer pensylvanicum,http://pkb.resource.huahuacaocao.com/YWNlciBwZW5zeWx2YW5pY3VtLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer platanoides,Acer platanoides,acer platanoides,http://pkb.resource.huahuacaocao.com/YWNlciBwbGF0YW5vaWRlcy5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer pseudoplatanus,Acer pseudoplatanus,acer pseudoplatanus,http://pkb.resource.huahuacaocao.com/YWNlciBwc2V1ZG9wbGF0YW51cy5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer rubrum,Acer rubrum,acer rubrum,http://pkb.resource.huahuacaocao.com/YWNlciBydWJydW0uanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer rubrum 'franksred red sunset',Acer rubrum 'Franksred Red Sunset',acer rubrum franksred red sunset,http://pkb.resource.huahuacaocao.com/YWNlciBydWJydW0gJ2ZyYW5rc3JlZCByZWQgc3Vuc2V0Jy5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer rufinerve,Acer rufinerve,acer rufinerve,http://pkb.resource.huahuacaocao.com/YWNlciBydWZpbmVydmUuanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer saccharinum,Acer saccharinum,acer saccharinum,http://pkb.resource.huahuacaocao.com/YWNlciBzYWNjaGFyaW51bS5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer saccharum,Acer saccharum,acer saccharum,http://pkb.resource.huahuacaocao.com/YWNlciBzYWNjaGFydW0uanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer shirasawanum,Acer shirasawanum,acer shirasawanum,http://pkb.resource.huahuacaocao.com/YWNlciBzaGlyYXNhd2FudW0uanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
